ResTenants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Ref_Property_ID,Tenant_Code,Ext_Ref_Tenant_Id,Prospect_Code,Ref_Prospect_Id,Unit_Code,First_Name,Last_Name,Social_Security_Number,Move_In_Date,Move_Out_Date,Notice_Date,Lease_From_Date,Lease_To_Date,Lease_Sign_Date,Email,Phone_Number_1,Phone_Number_2,Phone_Number_3,Phone_Number_4,Status,General_Info_1,General_Info_2,General_Info_3,General_Info_4,General_Info_5,General_Info_6,General_Info_7,General_Info_8,General_Info_9,General_Info_10,General_Info_11,General_Info_12,General_Info_13,General_Info_14,Address1,Address2,City,State,Zipcode,Rent,Due_Day,Last_Month_Rent_Deposit,Paid_To_Date,Salutation,Renew_Date,Security_Deposit_0,Security_Deposit_1,Security_Deposit_2,Security_Deposit_3,Security_Deposit_4,Security_Deposit_5,Security_Deposit_6,Security_Deposit_7,Security_Deposit_8,Security_Deposit_9,Non_Sufficient_Fund_Count,Late_Fee_Count,Middle_Name,LateMin,LatePerDay,LateType,LateGrace,LatePercent,LateGrace2,LateAmount2,LatePercent2,LateAmountMax,LatePercentMax,LateDaysMax,LateTypeMax,LateType2,LateMinDueAmount,LeaseGrossSQFT,MovedOut,MaintenanceNotes,LeaseType,BillToCustomer,ExtraAddressLine,Gets1099,Payment_Type,Payable_Type,ACHOptOut,MTM,LeaseTerm,NoticeType,Affordable_Type,Ref_Unit_Id,RGI_Type
lark,,t0640731,,p0640731,,100-0103,Amir,Movafaghi,,07/22/2016,,,07/22/2016,10/21/2016,07/12/2016,custtest+movafaghi@redisrupt.io,,12223334444,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 103,Larkspur,CA,94939,4273,1,0,,,,500,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,0,,0,0,,0,0,0,0,0,3,0,0,,0
lark,,tl094674,,p0000471,,100-0103,Robyn,Rodgers,,01/29/2010,07/30/2011,06/30/2011,08/01/2010,07/31/2011,01/27/2010,custtest+robyn.rodgers@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,5400 Dorset Way,,Sacramento,CA,95822,1975,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tn142568,,p0000222,,100-0103,Cheryl,Connett,,04/13/2013,11/12/2015,10/10/2015,07/13/2015,06/12/2016,03/24/2013,custtest+connettcl@redisrupt.io,12223334444,,,,1,,,,,,,,,,test,,,,,"915 Wilshire Blvd, Suite 1170",,Los Angeles,CA,90013,3360,1,0,,,07/11/2015,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,0,0,0,0,11,0,0,,0
lark,,tn125908,,p0000738,,100-0103,Suleiman,Alabrah,,10/15/2011,07/14/2012,06/11/2012,10/15/2011,07/14/2012,10/15/2011,,,,,,1,,,,,,,,,,,,,,,,,,,,2498,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,9,0,0,,0
lark,,tn137826,,p0000861,,100-0103,Tara,Hastings,,08/19/2012,02/21/2013,01/22/2013,08/19/2012,08/18/2013,08/15/2012,custtest+torpista@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 0103,Larkspur,CA,94939,2565,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tn125215,,p0000727,,100-0104,Kathryn,Kalabokes,,10/07/2011,11/23/2012,11/05/2012,10/07/2011,10/06/2012,09/23/2011,custtest+kathrynkalabokes@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,28 Harbor Dr.,,Corte Madera,CA,,2554,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tl093533,,p0000467,,100-0104,Dominick,Marchesiello,,01/02/2010,08/01/2011,07/04/2011,01/03/2011,01/02/2012,01/04/2010,custtest+dmarchtri@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,900 Santa Avenida Santa Margarita,Unit C,San Francisco,,92672,1750,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tn140108,,p0000335,,100-0104,James,Clavadetscher,,12/07/2012,09/29/2013,09/01/2013,12/07/2012,12/06/2013,11/06/2012,custtest+jclav2001@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,302 Olympic Court,,Petaluma,CA,94954,2425,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,t0000044,,p0001087,,100-0104,Test,User,,,,,,,,custtest+testusersutro@redisrupt.io,,12223334444,,,7,,,,,,,,,,,,,,,123 State Street,,Goleta,CA,93117,2650,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,75,0,2,5,75,0,,0,,0,0,0,0,0,,,,0,,,,,0,,,12,,0,,0
lark,,t0000045,,p0001091,,100-0104,KP Testing,Application,,,,,,,,custtest+kprewitt@redisrupt.io,,12223334444,,,7,,,,,,,,,,,,,,,700 Lincoln Village Circle,,Larkspur,CA,94939,2657,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,,,0,0,0,0,0,12,0,0,,0
lark,,t0000051,,p0001006,,100-0104,Adrienne,Amundsen,,,,,,,,custtest+AApsyche@redisrupt.io,12223334444,,,,7,,,,,,,,,,,,,,,2790 Heatherstone Dr,,San Rafael,CA,94903,2795,1,,,,,0,0,0,0,0,0,0,0,0,0,,,,75,0,2,5,75,0,,0,,0,0,0,0,0,,,,0,,,,,0,,,12,,0,,0
lark,,t0000120,,p0001699,,100-0104,Renata,Hamblet,,01/18/2014,,,01/18/2014,01/17/2015,01/06/2014,custtest+renata.hamblet@redisrupt.io,12223334444,,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 104,Larkspur,CA,94939,3060,1,0,,,,500,250,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,-1,12,0,0,,0
lark,,t0808031,,p0000373,,100-0105,Richard,Rudges,,03/27/2011,04/15/2011,04/13/2011,03/27/2011,03/26/2012,03/13/2011,custtest+r.rudges@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,1800 Lincoln Village circle,Apt. 2145,Larkspur,CA,94939,1500,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tl114452,,p0000568,,100-0105,Caryl,Hodges,,11/11/2011,12/10/2012,11/26/2012,11/11/2011,12/10/2012,10/18/2011,custtest+hodges@redisrupt.io,12223334444,,12223334444,,1,,,,,,,,,,,,,,,4 Bayo Vista Way,,San,CA,94901,1925,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,13,0,0,,0
lark,,tn141364,,p0000193,,100-0105,Kory,Harsh,,01/25/2013,,,01/25/2016,01/24/2017,01/13/2013,custtest+kharsh07@redisrupt.io,12223334444,,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 0105,Larkspur,CA,94939,2535,1,0,,,12/29/2015,500,250,0,0,0,0,0,0,0,0,2,0,,75,0,2,5,75,0,,0,,0,0,,,100,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
lark,,tn143654,,p0000242,,100-0106,Jennifer,Eggert,,05/01/2013,03/19/2014,03/19/2014,05/01/2013,04/30/2014,04/30/2013,custtest+dr.jennifereggert@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,2 Townsend St. #4314,,San Francisco,CA,94107,2195,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,1,0,,0
lark,,t0809182,,p0000393,,100-0106,Caryl,Hodges,,02/04/2011,11/14/2011,11/11/2011,02/04/2011,02/03/2012,01/10/2011,custtest+hodges@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 0105,Larkspur,CA,94939,1500,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tn129139,,p0000769,,100-0106,Diana,Lebeiko,,02/29/2012,02/28/2013,02/28/2013,02/29/2012,02/28/2013,01/26/2012,custtest+diana.lebeiko@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,PO Box 192161,,San Francisco,CA,,2085,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,t0002566,,p0002566,,100-0106,Timothy,Lopez,,05/01/2014,04/30/2015,04/01/2015,05/01/2014,04/30/2015,04/26/2014,custtest+tmhl1982@redisrupt.io,,12223334444,,,1,,,,,,,,,,,,,,,PO Box 29683,,Oakland,CA,94604,2295,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,1,0,,0
lark,,t0636324,,p0636324,,100-0106,Megan,Shea,,07/09/2016,,,07/09/2016,07/08/2017,07/03/2016,custtest+meganfshea@redisrupt.io,,12223334444,,12223334444,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 106,Larkspur,CA,94939,2871,1,0,,,,250,0,0,0,0,0,0,0,0,0,,,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,0,,0,0,,0,0,0,0,,12,,0,,0
lark,,tl095498,,p0000008,,100-0107,Kristine,Goode,,02/05/2010,,,06/17/2016,06/16/2017,02/08/2010,custtest+howellamesgoode@redisrupt.io,12223334444,,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 0107,Larkspur,CA,94939,2650,1,0,,,06/01/2016,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,,0,,0,0,,,100,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
lark,,tn125737,,p0000050,,100-0108,Jennifer,Charles,,10/16/2011,11/30/2014,11/01/2014,06/01/2014,05/31/2015,10/09/2011,custtest+cultivatecompassion@redisrupt.io,,12223334444,,,1,,,,,,,,,,,,,,,11 Laurel Dr.,,Corte Madera,CA,94925,2475,1,0,,,05/05/2014,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,1,0,,0
lark,,t0809181,,p0000392,,100-0108,Noel,Manuel,,10/05/2011,10/12/2011,10/05/2011,10/05/2011,11/04/2011,10/05/2011,custtest+manuel.noel@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,300 Lincoln Village Circle,307,Larkspur,CA,94939,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,1,0,0,,0
lark,,t0007232,,p0614059,,100-0108,Emily,Gould,,,,,01/19/2015,07/18/2015,,custtest+emangould@redisrupt.io,,12223334444,,,7,,,,,,,,,,,,,,,711 Pine St,,Santa Monica,CA,90405,2560,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,,,0,0,0,0,0,6,0,0,,0
lark,,t0614197,,p0614197,,100-0108,Terry,McDaniel,,01/25/2015,,,01/25/2016,01/24/2017,01/03/2015,custtest+greenwicher@redisrupt.io,,12223334444,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 108,Larkspur,CA,94939,2780,1,0,,,01/12/2016,2535,250,0,0,0,0,0,0,0,0,0,0,W,75,0,2,5,75,0,,0,,0,0,,,100,0,0,,0,0,,0,0,0,0,0,12,0,0,,0
lark,,t0000111,,p0001596,,100-0109,Amy,Grenier,,12/21/2013,09/29/2015,08/15/2015,12/21/2013,12/20/2014,12/17/2013,custtest+amyg4547@redisrupt.io,12223334444,12223334444,,,1,,,,,,,,,,,,,,,1291 W. Cardinal Ave.,,Hayden,ID,83835,2535,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,,,0,1,0,0,-1,12,0,0,,0
lark,,tn139231,,p0000155,,100-0109,Jordan,Olenberger,,10/14/2012,11/03/2013,10/09/2013,10/14/2012,10/13/2013,09/23/2012,custtest+jbergrman1@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,1357 Lincoln Ave,#B,San Rafael,CA,94901,2029,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tn119970,,p0000672,,100-0109,Lori,Eldridge,,05/26/2011,07/23/2012,06/25/2012,11/28/2011,11/30/2012,05/26/2011,,12223334444,,,,1,,,,,,,,,,,,,,,40 Pamela Ct.,,Tiburon,CA,94920,1886,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,t0638169,,p0638169,,100-0109,Lilia,Redding,,06/30/2016,,,06/30/2016,06/29/2017,06/14/2016,custtest+redding.lilia@redisrupt.io,12223334444,12223334444,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 109,Larkspur,CA,94939,2588,1,0,,,,500,250,0,0,0,0,0,0,0,0,,,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,0,,0,0,,0,0,0,0,,12,,0,,0
lark,,t0640112,,p0640112,,100-0110,Joel,Hunter,,07/15/2016,,,07/15/2016,07/14/2017,07/03/2016,custtest+joelhunter@redisrupt.io,,12223334444,,,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 110,Larkspur,CA,94939,2588,1,0,,Mr.,,250,0,0,0,0,0,0,0,0,0,,,H,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,0,,0,0,,0,0,0,0,,12,,0,,0
lark,,t0638531,,p0638531,,100-0110,Tea,Yoon,,,,,07/01/2016,06/30/2017,,custtest+bokgil34@redisrupt.io,925576741,12223334444,,,7,,,,,,,,,,,,,,,1618 Shore Drive,,San Jose,CA,95131,2588,1,0,,Mr.,,0,0,0,0,0,0,0,0,0,0,0,0,S,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,-1,,0,0,,0,0,0,0,0,12,0,0,,0
lark,,tn135385,,p0000846,,100-0110,Amanda,Schmieder,,08/01/2012,07/31/2013,06/19/2013,08/01/2012,07/31/2013,07/11/2012,custtest+amanda2852@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,114 Del Oro Lagoon,,Novato,CA,94949,2035,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tn138181,,p0000145,,100-0110,Alex,Rice,,09/07/2013,09/06/2014,08/27/2014,09/07/2013,09/06/2014,08/21/2013,custtest+arice1606@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,50 Cresta Drive #5,,San Rafael,CA,94903,2497,1,0,,,10/09/2013,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,1,0,,0
lark,,tl099011,,p0000497,,100-0110,Derek,Wilson,,05/01/2010,05/31/2012,04/30/2012,06/01/2011,05/31/2012,04/18/2010,custtest+no@redisrupt.io,12223334444,,12223334444,,1,,,,,,,,,,,,,,,76 Alta Vista,,Mill Valley,,94941,1325,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,t0003735,,p0003735,,100-0110,John,McNally,,09/29/2014,12/28/2015,12/22/2015,09/29/2014,09/28/2015,09/19/2014,custtest+thg156jah@redisrupt.io,12223334444,12223334444,,,1,,,,,,,,,,,,,,,2825 E. Stratford Dr.,,Tucson,AZ,85716,2810,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,0,0,0,-1,12,1,0,,0
lark,,tn141835,,p0000893,,100-0111,Elizabeth,Bridges,,03/30/2013,06/25/2013,05/21/2013,03/30/2013,09/29/2013,03/01/2013,custtest+lizbridges.ca@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,9 Poco Paso Rd,,San,CA,,2800,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,6,0,0,,0
lark,,t0811365,,p0000414,,100-0111,Michael,Orr,,11/05/2012,11/06/2012,11/06/2012,11/05/2012,01/04/2013,10/19/2012,custtest+mick.orr@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 0111,Larkspur,CA,94939,2649,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,2,0,0,,0
lark,,t0807960,,p0000361,,100-0111,Kathleen,Von Hurst,,02/15/2010,04/18/2011,04/04/2011,02/15/2010,04/16/2011,02/15/2010,custtest+kvonhurst@redisrupt.io,12223334444,,12223334444,,1,,,,,,,,,,,,,,,1300 Lincoln Village Circle,Apt.257,Larkspur,CA,94939,1879,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,14,0,0,,0
lark,,tn144210,,p0000258,,100-0111,Candice,Stevens,,07/01/2013,06/30/2015,05/20/2015,07/01/2014,06/30/2015,05/26/2013,custtest+cstevens@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,915 Cresta Way #12,,San Rafael,CA,94903,2945,1,0,,,08/05/2014,0,0,0,0,0,0,0,0,0,0,0,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,1,0,,0
lark,,tn126841,,p0000744,,100-0111,Isabel,McComish,,11/04/2011,08/31/2012,01/23/2012,11/04/2011,11/03/2012,11/06/2011,custtest+isabel0775@redisrupt.io,12223334444,,,,1,,,,,,,,,,,,,,,48 Lyford Drive,Apt Apt. 1,Tiburon,CA,94920,2200,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,12,0,0,,0
lark,,tn118891,,p0000661,,100-0111,Mark,Denney,,05/06/2011,08/05/2011,07/05/2011,05/06/2011,08/05/2011,05/06/2011,,12223334444,,,,1,,,,,,,,,,,,,,,7086 Fellers Lane,,Sebastopol,CA,95472,2600,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,,0,1,0,0,0,3,0,0,,0
lark,,t0635764,,p0635764,,100-0111,Cheryl,Parisi,,,,,,,,custtest+cparisi@redisrupt.io,,12223334444,,,7,,,,,,,,,,,,,,,1551 Ocean Avenue,,Santa Monica,CA,90401,3715,1,0,,,,-500,0,0,0,0,0,0,0,0,0,2,0,,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,-1,,0,0,,0,0,0,0,0,12,0,0,,0
lark,,t0008574,,p0638899,,100-0111,Kent,Iglehart,,07/02/2016,,,07/02/2016,07/01/2017,06/18/2016,custtest+kentiglehart@redisrupt.io,,12223334444,,12223334444,0,,,,,,,,,,,,,,,100 Lincoln Village Circle,Apt. 111,Larkspur,CA,94939,3715,1,,,,,500,0,0,0,0,0,0,0,0,0,,,,75,0,2,5,75,0,,0,,0,0,0,0,100,,0,,,,,,,0,,,12,,0,,0
lark,,t0630784,,p0630784,,100-0111,Steven,Fagliarone,,,,,,,,custtest+steven.fagliarone@redisrupt.io,12223334444,12223334444,,,7,,,,,,,,,,,,,,,37 East Concord St,Apt 3,Boston,MA,2118,3715,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,J,75,0,2,5,75,0,0,0,0,0,0,0,0,100,0,-1,,0,0,,0,0,0,0,0,14,0,0,,0
