ResRoommates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenant_Code,Ext_Ref_Tenant_Id,Roommate_PhoneNumber1,Roommate_PhoneNumber2,Roommate_PhoneNumber3,Roommate_PhoneNumber4,Roommate_UserDefined0,Roommate_UserDefined1,Roommate_UserDefined2,Roommate_UserDefined3,Roommate_UserDefined4,Roommate_UserDefined5,Roommate_UserDefined6,Roommate_UserDefined7,Roommate_UserDefined8,Roommate_UserDefined9,Roommate_SSN,Property_Code,Ref_Property_ID,Unit_Code,Ref_Unit_Id,Ext_Ref_Roommate_Id,Roommate_Salutation,Roommate_LastName,Roommate_FirstName,Roommate_Email,Roommate_ALTEmail,Roommate_MoveIn,Roommate_MoveOut,Occupant_Type,Roommate_Occupant,Roommate_ACHOptOut,Roommate_Relationship,Roommate_Notes,Roommate_Code
t0000175,,12223334444,,,,,,,,,,,,,,,cove,,034-GNWD,,,,Jansheski,Mark,,,08/09/2011,,1,0,0,Roommate,,r0000270
t0000177,,12223334444,,,,,,,,,,,,,,,lark,,500-0231,,,,Buccolo,David,custtest+david.buccolo@redisrupt.io,,,,,0,,Spouse,,r0000438
t0000178,,12223334444,,,,,,,,,,,,,,,lark,,190-2219,,,,Van Lewen,Krista,,,,,,0,,Spouse,,r0000439
t0000179,,12223334444,,,,,,,,,,,,,,,lark,,500-0234,,,,Byrne,Jeannie,custtest+donaines@redisrupt.io,,,,,0,,Spouse,,r0000440
t0000180,,12223334444,,,,,,,,,,,,,,,cove,,030-GNWD,,,,Tchikovani,Alexandre,custtest+is stchikovani@redisrupt.io,,,,1,0,0,Spouse,,r0000376
t0000181,,,,,,,,,,,,,,,,,lark,,130-0256,,,,Tulp,Melissa,custtest+melissatulp@redisrupt.io,,,,0,0,0,Roommate,,r0000039
t0000186,,,,,,,,,,,,,,,,,cove,,032-GNWD,,,,Astrea,Slezak,,,06/25/2013,,2,0,0,Other,,r0000264
t0000186,,,,,,,,,,,,,,,,,cove,,032-GNWD,,,,Maria,Slezak,,,06/25/2013,,1,-1,0,Roommate,,r0000265
t0000186,,12223334444,,,,,,,,,,,,,,,cove,,032-GNWD,,,,Karin,Slezak,custtest+karinsthings@redisrupt.io,,04/15/2010,,1,0,0,Roommate,,r0000266
t0000187,,,,,,,,,,,,,,,,,cove,,011-SALT,,,,Vanja,Flak,custtest+vflak@redisrupt.io,,10/08/2012,,1,-1,0,Roommate,,r0000195
t0000187,,,,,,,,,,,,,,,,,cove,,011-SALT,,,,Tomas,Flak-Jeavons,,,10/08/2012,,2,0,0,Other,,r0000196
t0000187,,,,,,,,,,,,,,,,,cove,,011-SALT,,,,Elias,Flak-Klyce,,,10/08/2012,,2,0,0,Other,,r0000197
t0000189,,,12223334444,,,,,,,,,,,,,,lark,,100-0303,,,,Rawson,Bethanny,custtest+bethannyt@redisrupt.io,,,,,0,,Spouse,,r0000450
t0000191,,,,,,,,,,,,,,,,,cove,,018-GNWD,,,,Rebecca,Wheeler,custtest+Becca.wheeler@redisrupt.io,,07/03/2012,,1,-1,0,Roommate,,r0000226
t0000191,,,,,,,,,,,,,,,,,cove,,018-GNWD,,,,William,Wheeler,custtest+Wwheeler.456@redisrupt.io,,02/27/2013,,1,-1,0,Roommate,,r0000227
t0000192,,12223334444,12223334444,,,,12223334444,12223334444,,,,,,,,,lark,,300-0120,,,,Biddle,Hannah,custtest+hannahj83@redisrupt.io,,04/05/2014,,0,0,0,Spouse,,r0000457
t0000193,,,,,,,,,,,,,,,,,lark,,230-0264,,,,,,,,,,0,-1,0,,,r0000602
t0000194,,12223334444,,,,,,,,,,,,,,,lark,,250-0279,,,,Chen,Chorng,custtest+chong_97@redisrupt.io,,,07/16/2015,0,0,0,Guarantor,,r0000458
t0000207,,,,,,,,,,,,,,,,,cove,,024-SALT,,,,Pacific,Meridian,,,,,0,0,0,Other,,r0000355
t0000208,,,12223334444,,,,,,,,,,,,,,lark,,230-0272,,,,Romero,Victoria,custtest+vromero8672@redisrupt.io,,,,1,0,,Roommate,,r0000462
t0000210,,,,,,,,,,,,,,,,,lark,,900-0244,,,,Camilla,Simpson,,,05/12/2014,,1,-1,0,,,r0000484
t0000212,,12223334444,,,,,,,,,,,,,,,lark,,130-0158,,,,Lee-warner,Christiani,custtest+chrisblw@redisrupt.io,,,,0,0,0,Spouse,,r0000466
t0000214,,,,,12223334444,,,,,,,,,,,,lark,,130-0255,,,,Cruz,Gloria,,,,,1,0,0,Spouse,,r0000120
t0000218,,,,,,,,,,,,,,,,,lark,,270-0178,,,,Blair,Casey,,,,,,0,,Spouse,,r0000468
t0000219,,,,,12223334444,,,,,,,,,,,,lark,,230-0265,,,,MacQuarrie,Kevin,,,,07/04/2015,0,-1,0,Spouse,,r0000470
t0000220,,,12223334444,,,,,,,,,,,,,,lark,,140-2157,,,,Drever,Jeremiah,custtest+jdrever31@redisrupt.io,,,,1,0,0,Spouse,,r0000498
t0000224,,12223334444,,,,,,,,,,,,,,,cove,,021-SALT,,,,Allen,Young,,,,,0,0,0,Spouse,,r0000357
t0000226,,,,,,,,,,,,,,,,,lark,,140-2260,,,,Craney,Gertrude,custtest+TrudyCraney1234@redisrupt.io,,,,0,-1,0,Spouse,,r0000048
t0000227,,12223334444,,,,,,,,,,,,,,,lark,,140-2256,,,,Neilsen,Linda,custtest+theneilsensay@redisrupt.io,,,,,0,,Spouse,,r0000480
t0000228,,,,,12223334444,,,,,,,,,,,,lark,,210-2204,,,,Neeb,Emily,custtest+ekneeb@redisrupt.io,,,,,0,,Other,,r0000481
t0000229,,,,,,,,12223334444,,,,,,,,,lark,,160-2317,,,,huffman,derek,custtest+sindy.huffman@redisrupt.io,,05/18/2014,,0,0,0,Guarantor,,r0000489
t0000230,,,12223334444,,,,,,,,,,,,,,cove,,026-SALT,,,,Robin,Howard,custtest+hrobin@redisrupt.io,,,,1,0,0,Spouse,,r0000432
t0000231,,12223334444,,,,,,,,,,,,,,,cove,,023-SALT,,,,Cori,Mullan,custtest+Corimullan@redisrupt.io,,08/20/2013,,1,0,0,Roommate,,r0000249
t0000232,,12223334444,,,,,,,,,,,,,,,lark,,180-2254,,,,Goto,Mizuka,custtest+mizuka888@redisrupt.io,,,01/26/2015,0,0,0,Spouse,,r0000491
t0000232,,,,,,,,,,,,,,,,,lark,,180-2254,,,,Goto,Isao,,,,01/26/2015,0,0,0,,,r0022935
t0000233,,12223334444,,,,,,,,,,,,,,,cove,,014-SALT,,,,Wills,Loretta,custtest+loretta.wills@redisrupt.io,,02/01/2010,,1,0,0,Roommate,,r0000208
t0000236,,,,,,,,,,,,,,,,,cove,,005-CAPT,,,,Simone,Mardell,,,05/14/2013,,1,-1,0,Roommate,,r0000169
t0000238,,12223334444,,,,,,,,,,,,,,,lark,,190-2209,,,,Uibel,Vincent,custtest+vincent.uibel@redisrupt.io,,,,1,0,,Other,,r0000493
t0000239,,,,,,,,,,,,,,,,,lark,,250-0315,,,,Havlek,David,,,,,1,0,0,Other,,r0000497
t0000243,,,12223334444,,,,,,,,,,,,,,lark,,170-2118,,,,Scally,Michael,custtest+michaelscally@redisrupt.io,,,,,0,,Spouse,,r0000500
t0000244,,,,,,,,,,,,,,,,,lark,,270-0286,,,,Toft,Maja,custtest+majabtoft@redisrupt.io,,,,1,0,0,Spouse,,r0000503
t0000248,,12223334444,,,,,,,,,,,,,,,lark,,180-2321,,,,Juszczak,Jeremy,custtest+jeremyj6677@redisrupt.io,,,,1,0,0,Spouse,,r0000513
t0000251,,12223334444,,,,,,,,,,,,,,,cove,,016-SALT,,,,Igou,Genevieve,custtest+gigou@redisrupt.io,,01/04/2013,,1,0,0,Roommate,,r0000221
t0000253,,12223334444,,,,,,,,,,,,,,,lark,,140-2158,,,,Wong,Robert,custtest+robertw@redisrupt.io,,,,,0,,Spouse,,r0000529
t0000256,,,,,12223334444,,,,,,,,,,,,cove,,130-BARB,,,,O'Brien,Sean,custtest+sob0707@redisrupt.io,,,,,0,,Spouse,,r0000533
t0000260,,12223334444,12223334444,,,,,,,,,,,,,,cove,,030-BARB,,,,Lynch,Edward,,,,,,0,,Spouse,,r0000538
t0000261,,12223334444,,,,,,,,,,,,,,,cove,,046-BARB,,,,Hanson,Jina,custtest+jinab@redisrupt.io,,,,1,0,0,Spouse,,r0000541
t0000264,,,,,,,,,,,,,,,,,cove,,010-GNWD,,,,Mathieu,child,,,,,2,-1,0,Other,,r0026118
t0000264,,,,,,,,,,,,,,,,,cove,,010-GNWD,,,,Mathieu,Marie-Laure,,,,,,0,,Spouse,,r0000554
t0000268,,,,,,,,,,,,,,,,,cove,,061-BARB,,,,Fogelman,Kelly,custtest+mkelly@redisrupt.io,,,,,0,,Spouse,,r0000560
t0000270,,,,,,,,,,,,,,,,,cove,,031-GNWD,,,,Jake,Dunn,,,09/21/2013,,2,0,0,Other,,r0000263
t0000272,,,,,,,,,,,,,,,,,cove,,020-CAPT,,,,Vanja,Flak,,,10/08/2012,,1,-1,0,Roommate,,r0000447
t0000272,,,,,,,,,,,,,,,,,cove,,020-CAPT,,,,Tomas,Flak-Jeavons,,,10/08/2012,,2,0,0,Other,,r0000448
t0000272,,,,,,,,,,,,,,,,,cove,,020-CAPT,,,,Elias,Flak-Klyce,,,10/08/2012,,2,0,0,Other,,r0000449
t0000273,,12223334444,,,,,,,,,,,,,,,cove,,028-SALT,,,,Trono,Bette,custtest+btrono1@redisrupt.io,,12/10/2011,,1,0,0,Roommate,,r0000259
t0000274,,12223334444,,,,,,,,,,,,,,,cove,,014-SEAD,,,,Faria,Luciano,custtest+lucianofaria@redisrupt.io,,05/07/2009,,1,0,0,Roommate,,r0000209
t0000274,,,,,,,,,,,,,,,,,cove,,014-SEAD,,,,Faria,Isabella,,,05/07/2009,,2,-1,0,Other,,r0000210
t0000274,,,,,,,,,,,,,,,,,cove,,014-SEAD,,,,Faria,Bruna,,,05/07/2009,,2,0,0,Other,,r0000211
t0000274,,,,,,,,,,,,,,,,,cove,,014-SEAD,,,,Faria,Lucino,,,05/07/2009,,2,-1,0,Other,,r0000212
t0000275,,12223334444,,,,,,,,,,,,,,,cove,,035-GNWD,,,,Jennifer,Berry,custtest+berryjenn@redisrupt.io,,07/16/2009,,1,-1,0,Roommate,,r0000273
t0000275,,,,,,,,,,,,,,,,,cove,,035-GNWD,,,,Clara,Berry,,,07/16/2009,,2,0,0,Other,,r0000274
t0000275,,,,,,,,,,,,,,,,,cove,,035-GNWD,,,,Lucy,Berry,,,07/16/2009,,2,0,0,Other,,r0000275
t0000277,,12223334444,,,,,,,,,,,,,,,cove,,023-GNWD,,,,Mullan,Gerald,custtest+Debcorger@redisrupt.io,,,,,0,,Guarantor,,r0000585
t0000278,,,,,,,,,,,,,,,,,cove,,022-SALT,,,,Teeple,Kristina,,,,,2,0,0,,,r0029195
t0000279,,,,,12223334444,,,,,,,,,,,,cove,,024-SEAD,,,,Kaufman,Nerice,custtest+nericekaufman@redisrupt.io,,,,0,0,0,Spouse,,r0023281
t0000280,,,,,,,,,,,,,,,,,cove,,014-GNWD,,,,Kim,Minju,custtest+artcook7777@redisrupt.io,,,,1,0,,Spouse,,r0000557
t0000280,,,,,,,,,,,,,,,,,cove,,014-GNWD,,,,Cho,Jaewon Philipp,,,,,,0,,Other,,r0000558
t0000284,,,,,,,,,,,,,,,,,cove,,044-BARB,,,,Alexander,Steven,,,,,,0,,Spouse,,r0000594
t0000285,,12223334444,,,,,,,,,,,,,,,lark,,150-2127,,,,Campell,David,custtest+Byron8400@redisrupt.io,,,,,0,,Guarantor,,r0000600
t0000293,,12223334444,,,,,,,,,,,,,,,cove,,010-SEAD,,,,Tchikovani,Alexandre,custtest+is stchikovani@redisrupt.io,,,,1,0,0,Spouse,,r0000442
t0000301,,,,,,,,,,,,,,,,,lark,,230-0270,,,,Buttles,Jason,custtest+liana@redisrupt.io,,,,1,0,0,Spouse,,r0000635
t0000304,,,12223334444,,,,,,,,,,,,,,cove,,022-BARB,,,,Myers,Pete,custtest+myers.pei@redisrupt.io,,,,0,0,0,Roommate,,r0000588
t0000307,,,,,12223334444,,,,,,,,,,,,lark,,500-0223,,,,McGraw,Katie,custtest+katiealicemcgraw@redisrupt.io,,,,1,0,0,Spouse,,r0025808
t0000313,,,,,,,,,,,,,,,,,cove,,005-SALT,,,,Frochen,Sharon,custtest+sharon.frochen@redisrupt.io,,,,1,0,0,Roommate,,r0026734
t0001436,,,,,,,,,,,,,,,,,lark,,WAITCASP,,,,Varnum,Cheri,custtest+cherivarnum@redisrupt.io,,,,1,0,0,Spouse,,r0000369
t0001537,,12223334444,,,12223334444,,,,,,,,,,,,lark,,130-0156,,,,Christianson,Rosalyn,custtest+orosalyn@redisrupt.io,,,,1,0,0,Spouse,,r0000368
t0001731,,,,,,,,,,,,,,,,,cove,,WAIT2-D,,,,Breeland,Les,custtest+lesbreeland@redisrupt.io,,,,1,0,0,Spouse,,r0000381
t0002012,,,,,,,12223334444,12223334444,,,,,,,,,cove,,027-SALT,,,,Leppones,Christine,custtest+cleppones@redisrupt.io,,02/20/2014,,1,0,0,Spouse,,r0000412
t0002084,,,,,,,,,,,,,,,,,cove,,007-CAPT,,,,Carlson,Jonas,custtest+goocrew@redisrupt.io,,,,1,0,0,Spouse,,r0000414
t0002137,,,,,,,,,,,,,,,,,cove,,081-BARB,,,,Grey,Catherine,custtest+greyc@redisrupt.io,,,,1,0,0,Spouse,,r0000421
